,Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real
,28/01/2019 17:20:52.234,0.009464264,adaptation,0.009464264,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,71.99476
,28/01/2019 17:20:52.240,0.01715565,adaptation,0.01715565,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,71.99476
,28/01/2019 17:20:52.250,0.02694988,adaptation,0.02694988,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,53.39627
,28/01/2019 17:20:52.264,0.04034519,adaptation,0.04034519,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,73.92896
,28/01/2019 17:20:52.268,0.04501343,adaptation,0.04501343,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,73.92896
,28/01/2019 17:20:52.278,0.05475235,adaptation,0.05475235,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,69.65632
,28/01/2019 17:20:52.282,0.05844402,adaptation,0.05844402,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,69.65632
,28/01/2019 17:20:52.305,0.0815134,adaptation,0.0815134,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.06145
,28/01/2019 17:20:52.308,0.08521271,adaptation,0.08521271,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.06145
,28/01/2019 17:20:52.318,0.0948267,adaptation,0.0948267,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.34262
,28/01/2019 17:20:52.322,0.09898186,adaptation,0.09898186,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.34262
,28/01/2019 17:20:52.345,0.1219187,adaptation,0.1219187,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.15757
,28/01/2019 17:20:52.349,0.1255808,adaptation,0.1255808,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.15757
,28/01/2019 17:20:52.360,0.1367912,adaptation,0.1367912,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,76.13827
,28/01/2019 17:20:52.364,0.1406775,adaptation,0.1406775,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,76.13827
,28/01/2019 17:20:52.387,0.1632586,adaptation,0.1632586,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.46828
,28/01/2019 17:20:52.390,0.1671438,adaptation,0.1671438,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.46828
,28/01/2019 17:20:52.400,0.1767807,adaptation,0.1767807,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.87196
,28/01/2019 17:20:52.405,0.1819725,adaptation,0.1819725,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.87196
,28/01/2019 17:20:52.420,0.1970177,adaptation,0.1970177,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,67.59908
,28/01/2019 17:20:52.430,0.2066736,adaptation,0.2066736,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,66.3086
,28/01/2019 17:20:52.443,0.2200928,adaptation,0.2200928,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,73.21984
,28/01/2019 17:20:52.447,0.2239466,adaptation,0.2239466,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,73.21984
,28/01/2019 17:20:52.461,0.2371683,adaptation,0.2371683,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.35909
,28/01/2019 17:20:52.470,0.2470303,adaptation,0.2470303,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.52414
,28/01/2019 17:20:52.484,0.2602692,adaptation,0.2602692,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,73.9071
,28/01/2019 17:20:52.487,0.2639437,adaptation,0.2639437,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,73.9071
,28/01/2019 17:20:52.501,0.2776642,adaptation,0.2776642,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.46828
,28/01/2019 17:20:52.511,0.2880335,adaptation,0.2880335,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,72.95223
,28/01/2019 17:20:52.525,0.3013582,adaptation,0.3013582,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,70.20352
,28/01/2019 17:20:52.528,0.3050337,adaptation,0.3050337,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,70.20352
,28/01/2019 17:20:52.538,0.3147182,adaptation,0.3147182,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,76.25613
,28/01/2019 17:20:52.542,0.3188362,adaptation,0.3188362,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,76.25613
,28/01/2019 17:20:52.564,0.3415327,adaptation,0.3415327,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.67479
,28/01/2019 17:20:52.569,0.345623,adaptation,0.345623,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.67479
,28/01/2019 17:20:52.579,0.3557377,adaptation,0.3557377,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.7345
,28/01/2019 17:20:52.582,0.3594275,adaptation,0.3594275,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.7345
,28/01/2019 17:20:52.612,0.388855,adaptation,0.388855,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.14333
,28/01/2019 17:20:52.616,0.3925028,adaptation,0.3925028,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.14333
,28/01/2019 17:20:52.626,0.4022112,adaptation,0.4022112,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,50.59346
,28/01/2019 17:20:52.629,0.4058838,adaptation,0.4058838,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,50.59346
,28/01/2019 17:20:52.639,0.4158182,adaptation,0.4158182,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.86768
,28/01/2019 17:20:52.643,0.4193954,adaptation,0.4193954,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.86768
,28/01/2019 17:20:52.665,0.4417524,adaptation,0.4417524,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,76.54213
,28/01/2019 17:20:52.669,0.4457331,adaptation,0.4457331,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,76.54213
,28/01/2019 17:20:52.678,0.4551821,adaptation,0.4551821,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.55838
,28/01/2019 17:20:52.682,0.4591227,adaptation,0.4591227,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.55838
,28/01/2019 17:20:52.704,0.4813852,adaptation,0.4813852,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,76.3353
,28/01/2019 17:20:52.708,0.4849987,adaptation,0.4849987,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,76.3353
,28/01/2019 17:20:52.717,0.4944344,adaptation,0.4944344,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,78.33675
,28/01/2019 17:20:52.722,0.498683,adaptation,0.498683,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,78.33675
,28/01/2019 17:20:52.744,0.5209522,adaptation,0.5209522,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,76.84209
,28/01/2019 17:20:52.748,0.5246038,adaptation,0.5246038,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,76.84209
,28/01/2019 17:20:52.762,0.5379677,adaptation,0.5379677,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,77.32696
,28/01/2019 17:20:52.771,0.5474768,adaptation,0.5474768,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.99569
,28/01/2019 17:20:52.784,0.5607862,adaptation,0.5607862,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.18728
,28/01/2019 17:20:52.788,0.5647192,adaptation,0.5647192,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.18728
,28/01/2019 17:20:52.798,0.5746431,adaptation,0.5746431,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.19814
,28/01/2019 17:20:52.802,0.5786047,adaptation,0.5786047,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.19814
,28/01/2019 17:20:52.826,0.6028147,adaptation,0.6028147,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,68.89425
,28/01/2019 17:20:52.830,0.6065226,adaptation,0.6065226,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,68.89425
,28/01/2019 17:20:52.840,0.6166601,adaptation,0.6166601,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.43467
,28/01/2019 17:20:52.844,0.6205778,adaptation,0.6205778,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.43467
,28/01/2019 17:20:52.868,0.644208,adaptation,0.644208,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,71.19363
,28/01/2019 17:20:52.872,0.6480913,adaptation,0.6480913,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,71.19363
,28/01/2019 17:20:52.882,0.6579218,adaptation,0.6579218,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.29034
,28/01/2019 17:20:52.886,0.6622686,adaptation,0.6622686,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.29034
,28/01/2019 17:20:52.900,0.6759348,adaptation,0.6759348,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,70.4275
,28/01/2019 17:20:52.910,0.6858797,adaptation,0.6858797,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,73.2939
,28/01/2019 17:20:52.923,0.6990633,adaptation,0.6990633,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,73.42791
,28/01/2019 17:20:52.926,0.7026911,adaptation,0.7026911,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,73.42791
,28/01/2019 17:20:52.940,0.7161989,adaptation,0.7161989,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,75.94168
,28/01/2019 17:20:52.950,0.7263975,adaptation,0.7263975,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.3865
,28/01/2019 17:20:52.963,0.7394743,adaptation,0.7394743,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,71.81741
,28/01/2019 17:20:52.967,0.7433386,adaptation,0.7433386,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,71.81741
,28/01/2019 17:20:52.980,0.7566061,adaptation,0.7566061,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,76.72771
,28/01/2019 17:20:52.990,0.7663507,adaptation,0.7663507,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,74.26055
