Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real,
30/01/2019 20:09:34.458,65745001,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:34.556,66734442,break,9104596,none,0,1,5,110,100,Q5,,90,10.07356,
30/01/2019 20:09:34.657,67743663,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:34.758,68753283,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:34.861,69782691,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:34.962,70792291,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.064,71821526,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.166,72825257,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.267,73834930,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.367,74854109,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.468,75863528,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.569,76862992,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.670,77872305,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.771,78881729,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.873,79894947,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:35.974,80904170,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.075,81933839,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.176,82933265,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.277,83942643,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.378,84952062,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.479,85964070,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.580,86973711,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.681,87983239,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.782,88992554,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.883,90011971,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:36.985,91015896,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:37.088,92048954,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:37.187,93034732,break,9104596,none,0,1,5,110,100,Q5,,90,10.15217,
30/01/2019 20:09:37.287,94043955,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:37.388,95053577,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:37.490,96073198,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:37.590,97072440,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:37.691,98092260,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:37.792,99090668,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:37.893,100100311,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:37.994,101112457,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:38.096,102131657,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:38.197,103141354,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:38.298,104150609,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:38.399,105170074,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:38.500,106167833,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:38.601,107177246,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:38.702,108196463,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:38.803,109195892,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:38.904,110205312,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:39.005,111216365,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:39.105,112224167,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:39.206,113233800,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:39.314,114253254,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:39.409,115262652,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:39.510,116282040,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:39.613,117295714,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:39.714,118315117,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:39.815,119324302,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:39.915,120323731,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:40.016,121343333,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:40.117,122352577,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:40.219,123362001,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:40.321,124390902,break,9104596,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:40.423,125408833,adaptation VE,1007694,none,0,1,5,110,100,Q5,,90,10,
