Time stamp,Ticks,Phase,Time in Phase,Trial Number,Trial Time,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,ThreadSleep,FPS realAudio Clip,
31/01/2019 17:41:50.230,636845533102307447,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.236,636845533102367696,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.242,636845533102427377,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.248,636845533102487347,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.253,636845533102537590,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.259,636845533102597284,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.265,636845533102657255,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.270,636845533102707463,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.276,636845533102767197,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.282,636845533102827360,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.288,636845533102887118,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.293,636845533102937342,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.299,636845533102997310,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.305,636845533103057026,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.311,636845533103116985,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.317,636845533103176956,Preparation,0.3014523,0,0,none,0,999,999,999,999,PE,PE,999,27.74356,none,
31/01/2019 17:41:50.323,636845533103236925,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.329,636845533103296887,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.335,636845533103356861,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.341,636845533103416820,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.347,636845533103476782,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.353,636845533103536747,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.359,636845533103596717,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.365,636845533103656689,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.371,636845533103716645,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.377,636845533103776607,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.383,636845533103836581,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.389,636845533103896539,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.395,636845533103956512,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.401,636845533104016477,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.407,636845533104076440,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.413,636845533104136408,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.419,636845533104196365,Preparation,0.3939387,0,0,none,0,999,999,999,999,PE,PE,999,10.67436,none,
31/01/2019 17:41:50.425,636845533104256341,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.431,636845533104316303,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.436,636845533104366529,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.442,636845533104426496,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.448,636845533104486197,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.454,636845533104546431,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.460,636845533104606406,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.466,636845533104666366,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.472,636845533104726060,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.478,636845533104786033,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.483,636845533104836151,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.488,636845533104886257,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.494,636845533104946150,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.499,636845533104996168,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.505,636845533105055883,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.511,636845533105115840,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.517,636845533105175812,Preparation,0.4933669,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.522,636845533105226002,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.527,636845533105276015,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.533,636845533105335924,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.539,636845533105395937,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.545,636845533105455648,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.550,636845533105505840,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.556,636845533105565805,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
