Time stamp,Ticks,Phase,Time in Phase,Trial Number,Trial Time,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,ThreadSleep,FPS realAudio Clip,
31/01/2019 17:39:37.761,636845531777636598,Preparation,0,0,0,none,0,999,999,999,999,PE,PE,999,0,none,
31/01/2019 17:39:37.769,636845531777696565,Preparation,0.0129932,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.775,636845531777756536,Preparation,0.0129932,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.780,636845531777806744,Preparation,0.0129932,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.786,636845531777866669,Preparation,0.0129932,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.791,636845531777916673,Preparation,0.0129932,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.797,636845531777976405,Preparation,0.0129932,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.802,636845531778026572,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.807,636845531778076599,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.813,636845531778136307,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.818,636845531778186487,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.824,636845531778246474,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.830,636845531778306218,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.836,636845531778366414,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.842,636845531778426140,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.847,636845531778476350,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.853,636845531778536082,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.859,636845531778596263,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.865,636845531778656010,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.870,636845531778706200,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.876,636845531778765945,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.882,636845531778825916,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:39:37.888,636845531778885882,Preparation,0.0459736,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
