,Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real
,29/01/2019 17:18:31.192,0.0004196167,adaptation,0.0004196167,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,78.79227
,29/01/2019 17:18:31.225,0.03450489,adaptation,0.03450489,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,78.79227
,29/01/2019 17:18:31.230,0.03936768,adaptation,0.03936768,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,78.79227
,29/01/2019 17:18:31.230,0.03961563,adaptation,0.03961563,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,78.79227
,29/01/2019 17:18:31.230,0.03983021,adaptation,0.03983021,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,78.79227
,29/01/2019 17:18:31.231,0.04007244,adaptation,0.04007244,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,24.66176
,29/01/2019 17:18:31.231,0.04016972,adaptation,0.04016972,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,24.66176
,29/01/2019 17:18:31.250,0.05956173,adaptation,0.05956173,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,206.4324
,29/01/2019 17:18:31.251,0.06002235,adaptation,0.06002235,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.04677
,29/01/2019 17:18:31.261,0.07086182,adaptation,0.07086182,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.15077
,29/01/2019 17:18:31.273,0.08193111,adaptation,0.08193111,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.15077
,29/01/2019 17:18:31.283,0.09286213,adaptation,0.09286213,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,91.01417
,29/01/2019 17:18:31.295,0.104249,adaptation,0.104249,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,91.01417
,29/01/2019 17:18:31.306,0.1152744,adaptation,0.1152744,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.31466
,29/01/2019 17:18:31.318,0.1268616,adaptation,0.1268616,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.31466
,29/01/2019 17:18:31.328,0.1377096,adaptation,0.1377096,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,91.4127
,29/01/2019 17:18:31.340,0.1489372,adaptation,0.1489372,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,91.4127
,29/01/2019 17:18:31.351,0.160181,adaptation,0.160181,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.48226
,29/01/2019 17:18:31.351,0.1603947,adaptation,0.1603947,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.96085
,29/01/2019 17:18:31.362,0.1713943,adaptation,0.1713943,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.82178
,29/01/2019 17:18:31.373,0.1823997,adaptation,0.1823997,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.82178
,29/01/2019 17:18:31.384,0.1941824,adaptation,0.1941824,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,84.30068
,29/01/2019 17:18:31.396,0.2052097,adaptation,0.2052097,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,84.30068
