,Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real
,28/01/2019 14:23:13.246,0.003775597,adaptation,0.003775597,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,82.34587
,28/01/2019 14:23:13.252,0.01062679,adaptation,0.01062679,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,82.34587
,28/01/2019 14:23:13.261,0.01972866,adaptation,0.01972866,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,81.74409
,28/01/2019 14:23:13.272,0.03133583,adaptation,0.03133583,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,110.1297
,28/01/2019 14:23:13.283,0.04207134,adaptation,0.04207134,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,86.28351
,28/01/2019 14:23:13.294,0.05334282,adaptation,0.05334282,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,92.99989
,28/01/2019 14:23:13.306,0.06457901,adaptation,0.06457901,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.17663
,28/01/2019 14:23:13.317,0.07574177,adaptation,0.07574177,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.59672
,28/01/2019 14:23:13.321,0.07993507,adaptation,0.07993507,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.78192
,28/01/2019 14:23:13.332,0.09070492,adaptation,0.09070492,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.40283
,28/01/2019 14:23:13.340,0.09851551,adaptation,0.09851551,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.40283
,28/01/2019 14:23:13.350,0.1091509,adaptation,0.1091509,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,85.3235
,28/01/2019 14:23:13.362,0.1205492,adaptation,0.1205492,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,93.82447
,28/01/2019 14:23:13.373,0.1316957,adaptation,0.1316957,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,87.7601
,28/01/2019 14:23:13.384,0.1428518,adaptation,0.1428518,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.61216
,28/01/2019 14:23:13.395,0.1538887,adaptation,0.1538887,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.83919
,28/01/2019 14:23:13.406,0.1651049,adaptation,0.1651049,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.51166
,28/01/2019 14:23:13.417,0.1762218,adaptation,0.1762218,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.08051
,28/01/2019 14:23:13.421,0.1802626,adaptation,0.1802626,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.62501
,28/01/2019 14:23:13.433,0.1915359,adaptation,0.1915359,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.72878
,28/01/2019 14:23:13.440,0.1986294,adaptation,0.1986294,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.72878
,28/01/2019 14:23:13.451,0.2099676,adaptation,0.2099676,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.26085
,28/01/2019 14:23:13.462,0.2209473,adaptation,0.2209473,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.18964
,28/01/2019 14:23:13.474,0.2326765,adaptation,0.2326765,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,91.74564
,28/01/2019 14:23:13.484,0.2432375,adaptation,0.2432375,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,84.533
,28/01/2019 14:23:13.496,0.2545357,adaptation,0.2545357,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,94.98029
,28/01/2019 14:23:13.507,0.2653141,adaptation,0.2653141,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.4056
,28/01/2019 14:23:13.518,0.2767725,adaptation,0.2767725,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,92.61232
,28/01/2019 14:23:13.522,0.2808294,adaptation,0.2808294,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,87.52966
,28/01/2019 14:23:13.533,0.2918625,adaptation,0.2918625,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.24294
,28/01/2019 14:23:13.540,0.2988939,adaptation,0.2988939,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.24294
,28/01/2019 14:23:13.551,0.3101158,adaptation,0.3101158,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.30569
,28/01/2019 14:23:13.563,0.321331,adaptation,0.321331,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.33677
