Time stamp,Ticks,Phase,Time in Phase,Trial Number,Trial Time,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,ThreadSleep,FPS realAudio Clip,
31/01/2019 17:30:07.547,636845526075493416,Preparation,0,0,0,none,0,999,999,999,999,PE,PE,999,0,none,
31/01/2019 17:30:07.555,636845526075553176,Preparation,0,0,0,none,0,999,999,999,999,PE,PE,999,0,none,
31/01/2019 17:30:07.560,636845526075603377,Preparation,0.0149906,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.566,636845526075663350,Preparation,0.0149906,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.572,636845526075723076,Preparation,0.0149906,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.577,636845526075773295,Preparation,0.0149906,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.583,636845526075833233,Preparation,0.0149906,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.589,636845526075892982,Preparation,0.0149906,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.595,636845526075952955,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.600,636845526076003153,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.606,636845526076062880,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.612,636845526076122837,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.617,636845526076173015,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.623,636845526076232772,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.629,636845526076292744,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.634,636845526076342898,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.640,636845526076402926,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.646,636845526076462695,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.652,636845526076522654,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.658,636845526076582834,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.664,636845526076642795,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.670,636845526076702781,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.676,636845526076762722,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.682,636845526076822692,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.688,636845526076882659,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.694,636845526076942420,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.700,636845526077002377,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.706,636845526077062339,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.712,636845526077122323,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.717,636845526077172531,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.723,636845526077232252,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.728,636845526077282461,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.734,636845526077342186,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.740,636845526077402143,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.746,636845526077462127,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.751,636845526077512292,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.757,636845526077572293,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.763,636845526077632244,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.769,636845526077692222,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.775,636845526077751971,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.780,636845526077802172,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.786,636845526077861885,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.791,636845526077912063,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.797,636845526077971832,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.803,636845526078031801,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.809,636845526078091756,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.815,636845526078151721,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.821,636845526078211687,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:30:07.827,636845526078271665,Preparation,0.0509703,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
