Time stamp,Ticks,Phase,Time in Phase,Trial Number,Trial Time,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,ThreadSleep,FPS realAudio Clip,
31/01/2019 18:07:08.264,636845548282666542,Preparation,0,0,0,none,0,999,999,999,999,PE,PE,999,0,none,
31/01/2019 18:07:08.271,636845548282716733,Preparation,0,0,0,none,0,999,999,999,999,PE,PE,999,0,none,
31/01/2019 18:07:08.277,636845548282776494,Preparation,0.0139899,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:07:08.283,636845548282836452,Preparation,0.0139899,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:07:08.289,636845548282896413,Preparation,0.0139899,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:07:08.294,636845548282946601,Preparation,0.0139899,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:07:08.300,636845548283006599,Preparation,0.0139899,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:07:08.306,636845548283066519,Preparation,0.0459498,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:07:08.312,636845548283126500,Preparation,0.0459498,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:07:08.318,636845548283186461,Preparation,0.0459498,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:07:08.324,636845548283246214,Preparation,0.0459498,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:07:08.330,636845548283306176,Preparation,0.0459498,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:07:08.335,636845548283356369,Preparation,0.0459498,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:07:08.341,636845548283416318,Preparation,0.0459498,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:07:08.347,636845548283476296,Preparation,0.0459498,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:07:08.353,636845548283536278,Preparation,0.0459498,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
