Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real
26/01/2019 14:15:54.581,0.02144623,adaptation,0.02144623,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.657,0.09776306,adaptation,0.09776306,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.659,0.09980011,adaptation,0.09980011,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.661,0.1016693,adaptation,0.1016693,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.663,0.1036568,adaptation,0.1036568,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.665,0.1055756,adaptation,0.1055756,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.666,0.1074829,adaptation,0.1074829,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.668,0.1092758,adaptation,0.1092758,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.670,0.111145,adaptation,0.111145,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.672,0.1131668,adaptation,0.1131668,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.674,0.1150665,adaptation,0.1150665,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.834,0.2743683,adaptation,0.2743683,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.836,0.2768173,adaptation,0.2768173,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.838,0.2789383,adaptation,0.2789383,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.840,0.2808647,adaptation,0.2808647,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.842,0.282753,adaptation,0.282753,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.844,0.2847252,adaptation,0.2847252,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.846,0.2867584,adaptation,0.2867584,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.848,0.2888107,adaptation,0.2888107,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.850,0.2907753,adaptation,0.2907753,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.852,0.2927628,adaptation,0.2927628,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.944,0.384304,adaptation,0.384304,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.946,0.3862686,adaptation,0.3862686,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.948,0.388237,adaptation,0.388237,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.950,0.3902206,adaptation,0.3902206,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.952,0.3921394,adaptation,0.3921394,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.954,0.3941803,adaptation,0.3941803,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.956,0.3962631,adaptation,0.3962631,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.958,0.3982468,adaptation,0.3982468,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.960,0.4002724,adaptation,0.4002724,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:54.962,0.4024239,adaptation,0.4024239,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.055,0.4963264,adaptation,0.4963264,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.057,0.4984131,adaptation,0.4984131,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.059,0.5003548,adaptation,0.5003548,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.061,0.5022583,adaptation,0.5022583,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.063,0.5042496,adaptation,0.5042496,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.065,0.5062675,adaptation,0.5062675,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.067,0.5081406,adaptation,0.5081406,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.069,0.5103531,adaptation,0.5103531,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.071,0.5123596,adaptation,0.5123596,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.073,0.5143318,adaptation,0.5143318,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.172,0.6131897,adaptation,0.6131897,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.174,0.6154747,adaptation,0.6154747,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.177,0.6175919,adaptation,0.6175919,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.179,0.6198311,adaptation,0.6198311,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.181,0.6222382,adaptation,0.6222382,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.183,0.6242828,adaptation,0.6242828,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.185,0.6264229,adaptation,0.6264229,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.187,0.6283798,adaptation,0.6283798,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.189,0.6303215,adaptation,0.6303215,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.191,0.6323929,adaptation,0.6323929,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.336,0.7770119,adaptation,0.7770119,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.338,0.779129,adaptation,0.779129,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.340,0.7810059,adaptation,0.7810059,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.342,0.7830353,adaptation,0.7830353,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.344,0.7850609,adaptation,0.7850609,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.346,0.7872963,adaptation,0.7872963,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.348,0.7893295,adaptation,0.7893295,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.350,0.7913666,adaptation,0.7913666,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.353,0.7935753,adaptation,0.7935753,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.355,0.7955513,adaptation,0.7955513,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.447,0.888134,adaptation,0.888134,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.449,0.8901978,adaptation,0.8901978,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.451,0.8921242,adaptation,0.8921242,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.453,0.894043,adaptation,0.894043,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.455,0.8959999,adaptation,0.8959999,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.457,0.8979912,adaptation,0.8979912,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.459,0.8998528,adaptation,0.8998528,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.461,0.9017525,adaptation,0.9017525,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.463,0.9037666,adaptation,0.9037666,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.465,0.9057198,adaptation,0.9057198,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.556,0.9965782,adaptation,0.9965782,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.558,0.9985924,adaptation,0.9985924,none,0,1,5,110,100,Q5,1920 x 1080 @ 60Hz,90,10
26/01/2019 14:15:55.568,1.000614,intervention,0.0006141663,decay,0.0006141663,0.99,4,109.26,99,Q4,1920 x 1080 @ 60Hz,89,10
26/01/2019 14:15:55.572,1.010773,intervention,0.01077271,decay,0.01077271,0.99,4,109.26,99,Q4,1920 x 1080 @ 60Hz,89,10
26/01/2019 14:15:55.576,1.014946,intervention,0.01494598,decay,0.01494598,0.99,4,109.26,99,Q4,1920 x 1080 @ 60Hz,89,10
26/01/2019 14:15:55.581,1.019588,intervention,0.01958847,decay,0.01958847,0.99,4,109.26,99,Q4,1920 x 1080 @ 60Hz,89,10
26/01/2019 14:15:55.585,1.023941,intervention,0.02394104,decay,0.02394104,0.98,4,108.52,98,Q4,1920 x 1080 @ 60Hz,88,10
26/01/2019 14:15:55.589,1.02808,intervention,0.02807999,decay,0.02807999,0.98,4,108.52,98,Q4,1920 x 1080 @ 60Hz,88,10
26/01/2019 14:15:55.593,1.032139,intervention,0.03213882,decay,0.03213882,0.98,4,108.52,98,Q4,1920 x 1080 @ 60Hz,88,10
26/01/2019 14:15:55.597,1.035984,intervention,0.03598404,decay,0.03598404,0.98,4,108.52,98,Q4,1920 x 1080 @ 60Hz,88,10
26/01/2019 14:15:55.689,1.127762,intervention,0.1277618,decay,0.1277618,0.93,4,104.84,93,Q4,1920 x 1080 @ 60Hz,85,10
26/01/2019 14:15:55.693,1.132008,intervention,0.1320076,decay,0.1320076,0.93,4,104.84,93,Q4,1920 x 1080 @ 60Hz,85,10
26/01/2019 14:15:55.697,1.135952,intervention,0.135952,decay,0.135952,0.93,4,104.84,93,Q4,1920 x 1080 @ 60Hz,85,10
26/01/2019 14:15:55.701,1.139931,intervention,0.1399307,decay,0.1399307,0.93,4,104.84,93,Q4,1920 x 1080 @ 60Hz,85,10
26/01/2019 14:15:55.706,1.144314,intervention,0.1443138,decay,0.1443138,0.92,4,104.1,92,Q4,1920 x 1080 @ 60Hz,85,10
26/01/2019 14:15:55.710,1.148373,intervention,0.1483727,decay,0.1483727,0.92,4,104.1,92,Q4,1920 x 1080 @ 60Hz,85,10
26/01/2019 14:15:55.714,1.1525,intervention,0.1525002,decay,0.1525002,0.92,4,104.1,92,Q4,1920 x 1080 @ 60Hz,85,10
26/01/2019 14:15:55.718,1.156616,intervention,0.1566162,decay,0.1566162,0.92,4,104.1,92,Q4,1920 x 1080 @ 60Hz,85,10
26/01/2019 14:15:55.722,1.160488,intervention,0.1604881,decay,0.1604881,0.91,4,103.36,91,Q4,1920 x 1080 @ 60Hz,84,10
26/01/2019 14:15:55.726,1.164497,intervention,0.1644974,decay,0.1644974,0.91,4,103.36,91,Q4,1920 x 1080 @ 60Hz,84,10
26/01/2019 14:15:55.884,1.322353,intervention,0.3223534,decay,0.3223534,0.83,4,97.47,83,Q4,1080 x 1920 @ 60Hz,79,10
26/01/2019 14:15:55.888,1.326824,intervention,0.3268242,decay,0.3268242,0.83,4,97.47,83,Q4,1080 x 1920 @ 60Hz,79,10
26/01/2019 14:15:55.893,1.330948,intervention,0.3309479,decay,0.3309479,0.83,4,97.47,83,Q4,1080 x 1920 @ 60Hz,79,10
26/01/2019 14:15:55.898,1.336082,intervention,0.3360825,decay,0.3360825,0.83,4,97.47,83,Q4,1080 x 1920 @ 60Hz,79,10
26/01/2019 14:15:55.902,1.340076,intervention,0.3400764,decay,0.3400764,0.82,4,96.73,82,Q4,1080 x 1920 @ 60Hz,79,10
26/01/2019 14:15:55.906,1.344231,intervention,0.3442307,decay,0.3442307,0.82,4,96.73,82,Q4,1080 x 1920 @ 60Hz,79,10
