Time stamp,Ticks,Phase,Time in Phase,Trial Number,Trial Time,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,ThreadSleep,FPS realAudio Clip,
31/01/2019 17:20:46.441,636845520464446914,Preparation,0.0129869,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.456,636845520464566827,Preparation,0.0129869,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.467,636845520464676528,Preparation,0.0129869,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.478,636845520464786453,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.488,636845520464886639,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.499,636845520464996334,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.509,636845520465096524,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.520,636845520465206206,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.531,636845520465316145,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.542,636845520465426083,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.553,636845520465536023,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.564,636845520465645966,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.575,636845520465755897,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.586,636845520465865834,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.597,636845520465975765,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.608,636845520466085709,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.619,636845520466195646,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.630,636845520466305578,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.640,636845520466405791,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.651,636845520466515515,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.661,636845520466615676,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.672,636845520466725407,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.683,636845520466835333,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.693,636845520466935531,Preparation,0.0429473,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 17:20:46.704,636845520467045205,Preparation,0.2708454,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:20:46.715,636845520467155144,Preparation,0.2708454,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:20:46.725,636845520467255304,Preparation,0.2708454,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:20:46.736,636845520467365031,Preparation,0.2708454,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:20:46.747,636845520467474968,Preparation,0.3068016,0,0,none,0,999,999,999,999,PE,PE,999,28.90867,none,
31/01/2019 17:20:46.758,636845520467584901,Preparation,0.323792,0,0,none,0,999,999,999,999,PE,PE,999,48.84005,none,
31/01/2019 17:20:46.769,636845520467695092,Preparation,0.323792,0,0,none,0,999,999,999,999,PE,PE,999,48.84005,none,
31/01/2019 17:20:46.780,636845520467804771,Preparation,0.323792,0,0,none,0,999,999,999,999,PE,PE,999,48.84005,none,
31/01/2019 17:20:46.791,636845520467914710,Preparation,0.323792,0,0,none,0,999,999,999,999,PE,PE,999,48.84005,none,
31/01/2019 17:20:46.802,636845520468024649,Preparation,0.323792,0,0,none,0,999,999,999,999,PE,PE,999,48.84005,none,
31/01/2019 17:20:46.813,636845520468134588,Preparation,0.323792,0,0,none,0,999,999,999,999,PE,PE,999,48.84005,none,
31/01/2019 17:20:46.824,636845520468244526,Preparation,0.323792,0,0,none,0,999,999,999,999,PE,PE,999,48.84005,none,
31/01/2019 17:20:46.835,636845520468354465,Preparation,0.323792,0,0,none,0,999,999,999,999,PE,PE,999,48.84005,none,
31/01/2019 17:20:46.846,636845520468463687,Preparation,0.4117419,0,0,none,0,999,999,999,999,PE,PE,999,11.59212,none,
31/01/2019 17:20:46.857,636845520468573612,Preparation,0.4117419,0,0,none,0,999,999,999,999,PE,PE,999,11.59212,none,
31/01/2019 17:20:46.868,636845520468683549,Preparation,0.4117419,0,0,none,0,999,999,999,999,PE,PE,999,11.59212,none,
31/01/2019 17:20:46.879,636845520468793481,Preparation,0.4117419,0,0,none,0,999,999,999,999,PE,PE,999,11.59212,none,
31/01/2019 17:20:46.890,636845520468903423,Preparation,0.4117419,0,0,none,0,999,999,999,999,PE,PE,999,11.59212,none,
31/01/2019 17:20:46.901,636845520469013355,Preparation,0.4117419,0,0,none,0,999,999,999,999,PE,PE,999,11.59212,none,
31/01/2019 17:20:46.911,636845520469113514,Preparation,0.4117419,0,0,none,0,999,999,999,999,PE,PE,999,11.59212,none,
31/01/2019 17:20:46.922,636845520469223457,Preparation,0.4117419,0,0,none,0,999,999,999,999,PE,PE,999,11.59212,none,
31/01/2019 17:20:46.933,636845520469333184,Preparation,0.4117419,0,0,none,0,999,999,999,999,PE,PE,999,11.59212,none,
31/01/2019 17:20:46.943,636845520469435912,Preparation,0.4117419,0,0,none,0,999,999,999,999,PE,PE,999,11.59212,none,
31/01/2019 17:20:46.954,636845520469540947,Preparation,0.5128903,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:20:46.965,636845520469650888,Preparation,0.5128903,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:20:46.976,636845520469760821,Preparation,0.5128903,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:20:46.987,636845520469870754,Preparation,0.5128903,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:20:46.998,636845520469980694,Preparation,0.5128903,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:20:47.009,636845520470090637,Preparation,0.5128903,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:20:47.020,636845520470200570,Preparation,0.5128903,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:20:47.030,636845520470300726,Preparation,0.5128903,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:20:47.040,636845520470400729,Preparation,0.5128903,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:20:47.051,636845520470510393,Preparation,0.6133422,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
