,Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real
,28/01/2019 18:15:43.822,0.0004205704,adaptation,0.0004205704,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,81.99612
,28/01/2019 18:15:43.824,0.003558159,adaptation,0.003558159,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,81.99612
,28/01/2019 18:15:43.830,0.009339333,adaptation,0.009339333,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,81.99612
,28/01/2019 18:15:43.830,0.009570122,adaptation,0.009570122,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,98.03442
,28/01/2019 18:15:43.841,0.02033329,adaptation,0.02033329,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,98.03442
,28/01/2019 18:15:43.852,0.03153038,adaptation,0.03153038,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.80679
,28/01/2019 18:15:43.863,0.04285431,adaptation,0.04285431,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.80679
,28/01/2019 18:15:43.874,0.05378914,adaptation,0.05378914,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.68239
,28/01/2019 18:15:43.886,0.06520176,adaptation,0.06520176,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,90.68239
,28/01/2019 18:15:43.897,0.07634354,adaptation,0.07634354,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.32958
,28/01/2019 18:15:43.908,0.08749962,adaptation,0.08749962,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.32958
,28/01/2019 18:15:43.919,0.09857941,adaptation,0.09857941,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.62421
,28/01/2019 18:15:43.931,0.1099539,adaptation,0.1099539,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,89.62421
,28/01/2019 18:15:43.931,0.1101637,adaptation,0.1101637,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.54259
,28/01/2019 18:15:43.947,0.1260481,adaptation,0.1260481,none,0,1,5,110,100,Q1,1920 x 1080 @ 60Hz,90,88.54259
