Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real
26/01/2019 15:49:18.399,0.4448004,adaptation,0.4448004,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.73659
26/01/2019 15:49:18.428,0.4737577,adaptation,0.4737577,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.97018
26/01/2019 15:49:18.430,0.4759245,adaptation,0.4759245,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.97018
26/01/2019 15:49:18.432,0.4777737,adaptation,0.4777737,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.97018
26/01/2019 15:49:18.434,0.4797077,adaptation,0.4797077,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.97018
26/01/2019 15:49:18.463,0.50844,adaptation,0.50844,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.00237
26/01/2019 15:49:18.465,0.5103769,adaptation,0.5103769,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.00237
26/01/2019 15:49:18.467,0.5122385,adaptation,0.5122385,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.00237
26/01/2019 15:49:18.495,0.5410919,adaptation,0.5410919,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.74022
26/01/2019 15:49:18.497,0.5431213,adaptation,0.5431213,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.74022
26/01/2019 15:49:18.499,0.5450449,adaptation,0.5450449,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.74022
26/01/2019 15:49:18.528,0.5739422,adaptation,0.5739422,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.13782
26/01/2019 15:49:18.530,0.5759048,adaptation,0.5759048,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.13782
26/01/2019 15:49:18.532,0.5777683,adaptation,0.5777683,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.13782
26/01/2019 15:49:18.534,0.5796566,adaptation,0.5796566,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.13782
26/01/2019 15:49:18.563,0.608285,adaptation,0.608285,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.04772
26/01/2019 15:49:18.565,0.6102762,adaptation,0.6102762,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.04772
26/01/2019 15:49:18.567,0.6122904,adaptation,0.6122904,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.04772
26/01/2019 15:49:18.596,0.641139,adaptation,0.641139,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.91585
26/01/2019 15:49:18.598,0.6432686,adaptation,0.6432686,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.91585
26/01/2019 15:49:18.600,0.6451883,adaptation,0.6451883,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.91585
26/01/2019 15:49:18.628,0.6737318,adaptation,0.6737318,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.95223
26/01/2019 15:49:18.630,0.6757278,adaptation,0.6757278,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.95223
26/01/2019 15:49:18.632,0.6776199,adaptation,0.6776199,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.95223
26/01/2019 15:49:18.634,0.6795578,adaptation,0.6795578,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.95223
26/01/2019 15:49:18.663,0.7083282,adaptation,0.7083282,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.20929
26/01/2019 15:49:18.665,0.7100029,adaptation,0.7100029,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.20929
26/01/2019 15:49:18.666,0.711585,adaptation,0.711585,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.20929
26/01/2019 15:49:18.696,0.7412891,adaptation,0.7412891,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.84015
26/01/2019 15:49:18.698,0.7432327,adaptation,0.7432327,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.84015
26/01/2019 15:49:18.700,0.7452478,adaptation,0.7452478,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.84015
26/01/2019 15:49:18.736,0.7818127,adaptation,0.7818127,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.81479
26/01/2019 15:49:18.738,0.7836466,adaptation,0.7836466,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.81479
26/01/2019 15:49:18.740,0.7855139,adaptation,0.7855139,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.81479
26/01/2019 15:49:18.742,0.7874212,adaptation,0.7874212,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.81479
26/01/2019 15:49:18.771,0.8159466,adaptation,0.8159466,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,24.25124
26/01/2019 15:49:18.773,0.8179502,adaptation,0.8179502,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,24.25124
26/01/2019 15:49:18.774,0.8198452,adaptation,0.8198452,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,24.25124
26/01/2019 15:49:18.776,0.821702,adaptation,0.821702,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,24.25124
26/01/2019 15:49:18.805,0.8499794,adaptation,0.8499794,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.19734
26/01/2019 15:49:18.806,0.8518782,adaptation,0.8518782,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.19734
26/01/2019 15:49:18.808,0.8538847,adaptation,0.8538847,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,29.19734
26/01/2019 15:49:18.837,0.882081,adaptation,0.882081,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.40013
26/01/2019 15:49:18.839,0.8840466,adaptation,0.8840466,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.40013
26/01/2019 15:49:18.841,0.8859921,adaptation,0.8859921,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.40013
26/01/2019 15:49:18.872,0.9175024,adaptation,0.9175024,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.54872
26/01/2019 15:49:18.874,0.9194069,adaptation,0.9194069,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.54872
26/01/2019 15:49:18.876,0.92138,adaptation,0.92138,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.54872
26/01/2019 15:49:18.878,0.9232635,adaptation,0.9232635,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.54872
