Time stamp,Ticks,Phase,Time in Phase,Trial Number,Trial Time,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,ThreadSleep,FPS realAudio Clip,
31/01/2019 18:04:37.633,636845546776367916,Preparation,0,0,0,none,0,999,999,999,999,PE,PE,999,0,none,
31/01/2019 18:04:37.642,636845546776427643,Preparation,0.0130166,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.648,636845546776487605,Preparation,0.0130166,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.654,636845546776547570,Preparation,0.0130166,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.660,636845546776607540,Preparation,0.0130166,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.666,636845546776667728,Preparation,0.0130166,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.671,636845546776717843,Preparation,0.0130166,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.677,636845546776777438,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.683,636845546776837406,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.689,636845546776897371,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.695,636845546776957335,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.701,636845546777017309,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.707,636845546777077267,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.713,636845546777137237,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.719,636845546777197199,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.725,636845546777257265,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.731,636845546777317163,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.737,636845546777377124,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.743,636845546777437088,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.749,636845546777497061,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.755,636845546777557036,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.761,636845546777616995,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.767,636845546777676952,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.773,636845546777736920,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.779,636845546777796882,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.785,636845546777856846,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.790,636845546777907035,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.796,636845546777967023,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.802,636845546778026987,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.808,636845546778086746,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.813,636845546778136919,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.819,636845546778196668,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.825,636845546778253622,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.830,636845546778303717,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.836,636845546778363460,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.841,636845546778413662,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.847,636845546778473424,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.852,636845546778523614,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.858,636845546778583337,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.864,636845546778643304,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.870,636845546778703267,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.876,636845546778763229,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.882,636845546778823447,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.888,636845546778883464,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.894,636845546778943128,Preparation,0.0440106,0,0,none,0,999,999,999,999,PE,PE,999,50,none,
31/01/2019 18:04:37.900,636845546779003102,Preparation,0.2705377,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 18:04:37.905,636845546779053288,Preparation,0.2705377,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 18:04:37.911,636845546779113032,Preparation,0.2705377,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
