Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity
21/01/2019 19:23:56.302,0.01492023,adaptation,0.01492023,none,0,1
21/01/2019 19:23:56.318,0.03208113,adaptation,0.03208113,none,0,1
21/01/2019 19:23:56.334,0.04804039,adaptation,0.04804039,none,0,1
21/01/2019 19:23:56.351,0.06505775,adaptation,0.06505775,none,0,1
21/01/2019 19:23:56.367,0.08116388,adaptation,0.08116388,none,0,1
21/01/2019 19:23:56.384,0.09801435,adaptation,0.09801435,none,0,1
21/01/2019 19:23:56.401,0.114305,adaptation,0.114305,none,0,1
21/01/2019 19:23:56.417,0.1310096,adaptation,0.1310096,none,0,1
21/01/2019 19:23:56.434,0.1480498,adaptation,0.1480498,none,0,1
21/01/2019 19:23:56.450,0.1640429,adaptation,0.1640429,none,0,1
21/01/2019 19:23:56.467,0.1805959,adaptation,0.1805959,none,0,1
21/01/2019 19:23:56.484,0.1971226,adaptation,0.1971226,none,0,1
21/01/2019 19:23:56.500,0.2137227,adaptation,0.2137227,none,0,1
21/01/2019 19:23:56.517,0.230267,adaptation,0.230267,none,0,1
21/01/2019 19:23:56.533,0.2469692,adaptation,0.2469692,none,0,1
21/01/2019 19:23:56.550,0.2639813,adaptation,0.2639813,none,0,1
21/01/2019 19:23:56.566,0.279952,adaptation,0.279952,none,0,1
21/01/2019 19:23:56.583,0.2969851,adaptation,0.2969851,none,0,1
21/01/2019 19:23:56.599,0.3130817,adaptation,0.3130817,none,0,1
21/01/2019 19:23:56.616,0.3299398,adaptation,0.3299398,none,0,1
21/01/2019 19:23:56.633,0.3469229,adaptation,0.3469229,none,0,1
21/01/2019 19:23:56.649,0.3630171,adaptation,0.3630171,none,0,1
21/01/2019 19:23:56.666,0.3799605,adaptation,0.3799605,none,0,1
21/01/2019 19:23:56.682,0.3959303,adaptation,0.3959303,none,0,1
21/01/2019 19:23:56.699,0.4129195,adaptation,0.4129195,none,0,1
21/01/2019 19:23:56.716,0.4290657,adaptation,0.4290657,none,0,1
21/01/2019 19:23:56.732,0.4459405,adaptation,0.4459405,none,0,1
21/01/2019 19:23:56.749,0.462204,adaptation,0.462204,none,0,1
21/01/2019 19:23:56.765,0.4788952,adaptation,0.4788952,none,0,1
21/01/2019 19:23:56.782,0.4958119,adaptation,0.4958119,none,0,1
21/01/2019 19:23:56.799,0.5119305,adaptation,0.5119305,none,0,1
21/01/2019 19:23:56.815,0.5287471,adaptation,0.5287471,none,0,1
21/01/2019 19:23:56.832,0.5450597,adaptation,0.5450597,none,0,1
21/01/2019 19:23:56.850,0.562705,adaptation,0.562705,none,0,1
21/01/2019 19:23:56.864,0.5782351,adaptation,0.5782351,none,0,1
21/01/2019 19:23:56.881,0.595552,adaptation,0.595552,none,0,1
21/01/2019 19:23:56.897,0.6114888,adaptation,0.6114888,none,0,1
21/01/2019 19:23:56.914,0.6278834,adaptation,0.6278834,none,0,1
21/01/2019 19:23:56.931,0.6444378,adaptation,0.6444378,none,0,1
21/01/2019 19:23:56.947,0.6610107,adaptation,0.6610107,none,0,1
21/01/2019 19:23:56.964,0.6780181,adaptation,0.6780181,none,0,1
21/01/2019 19:23:56.981,0.694983,adaptation,0.694983,none,0,1
21/01/2019 19:23:56.997,0.7110777,adaptation,0.7110777,none,0,1
21/01/2019 19:23:57.014,0.7272835,adaptation,0.7272835,none,0,1
21/01/2019 19:23:57.030,0.7439814,adaptation,0.7439814,none,0,1
21/01/2019 19:23:57.047,0.7610197,adaptation,0.7610197,none,0,1
21/01/2019 19:23:57.063,0.7770224,adaptation,0.7770224,none,0,1
21/01/2019 19:23:57.080,0.7935486,adaptation,0.7935486,none,0,1
21/01/2019 19:23:57.097,0.8103375,adaptation,0.8103375,none,0,1
21/01/2019 19:23:57.114,0.8270388,adaptation,0.8270388,none,0,1
21/01/2019 19:23:57.130,0.8433385,adaptation,0.8433385,none,0,1
21/01/2019 19:23:57.146,0.8598294,adaptation,0.8598294,none,0,1
21/01/2019 19:23:57.163,0.8769703,adaptation,0.8769703,none,0,1
21/01/2019 19:23:57.179,0.892931,adaptation,0.892931,none,0,1
