Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity
22/01/2019 13:28:53.457,0.0106926,adaptation,0.0106926,none,0,1
22/01/2019 13:28:53.466,0.02017784,adaptation,0.02017784,none,0,1
22/01/2019 13:28:53.475,0.02994347,adaptation,0.02994347,none,0,1
22/01/2019 13:28:53.485,0.03910065,adaptation,0.03910065,none,0,1
22/01/2019 13:28:53.494,0.04822159,adaptation,0.04822159,none,0,1
22/01/2019 13:28:53.504,0.05807304,adaptation,0.05807304,none,0,1
22/01/2019 13:28:53.513,0.06785202,adaptation,0.06785202,none,0,1
22/01/2019 13:28:53.523,0.07697105,adaptation,0.07697105,none,0,1
22/01/2019 13:28:53.532,0.08687973,adaptation,0.08687973,none,0,1
22/01/2019 13:28:53.542,0.09683418,adaptation,0.09683418,none,0,1
22/01/2019 13:28:53.552,0.1065636,adaptation,0.1065636,none,0,1
22/01/2019 13:28:53.570,0.1239796,adaptation,0.1239796,none,0,1
22/01/2019 13:28:53.579,0.1332436,adaptation,0.1332436,none,0,1
22/01/2019 13:28:53.589,0.1431732,adaptation,0.1431732,none,0,1
22/01/2019 13:28:53.599,0.1532059,adaptation,0.1532059,none,0,1
22/01/2019 13:28:53.609,0.1631565,adaptation,0.1631565,none,0,1
22/01/2019 13:28:53.618,0.1723499,adaptation,0.1723499,none,0,1
22/01/2019 13:28:53.627,0.1816616,adaptation,0.1816616,none,0,1
22/01/2019 13:28:53.636,0.1907883,adaptation,0.1907883,none,0,1
22/01/2019 13:28:53.646,0.2008286,adaptation,0.2008286,none,0,1
22/01/2019 13:28:53.656,0.2106991,adaptation,0.2106991,none,0,1
22/01/2019 13:28:53.666,0.2205639,adaptation,0.2205639,none,0,1
22/01/2019 13:28:53.683,0.2370014,adaptation,0.2370014,none,0,1
22/01/2019 13:28:53.692,0.246191,adaptation,0.246191,none,0,1
22/01/2019 13:28:53.702,0.2560616,adaptation,0.2560616,none,0,1
22/01/2019 13:28:53.712,0.2659607,adaptation,0.2659607,none,0,1
22/01/2019 13:28:53.721,0.2750645,adaptation,0.2750645,none,0,1
22/01/2019 13:28:53.730,0.2842522,adaptation,0.2842522,none,0,1
22/01/2019 13:28:53.739,0.2935295,adaptation,0.2935295,none,0,1
22/01/2019 13:28:53.748,0.3027573,adaptation,0.3027573,none,0,1
22/01/2019 13:28:53.758,0.3120289,adaptation,0.3120289,none,0,1
22/01/2019 13:28:53.767,0.3216858,adaptation,0.3216858,none,0,1
22/01/2019 13:28:53.776,0.3308067,adaptation,0.3308067,none,0,1
22/01/2019 13:28:53.786,0.3406219,adaptation,0.3406219,none,0,1
22/01/2019 13:28:53.798,0.3531246,adaptation,0.3531246,none,0,1
22/01/2019 13:28:53.808,0.3624039,adaptation,0.3624039,none,0,1
22/01/2019 13:28:53.817,0.3721066,adaptation,0.3721066,none,0,1
22/01/2019 13:28:53.827,0.382,adaptation,0.382,none,0,1
22/01/2019 13:28:53.837,0.3920116,adaptation,0.3920116,none,0,1
22/01/2019 13:28:53.847,0.4018536,adaptation,0.4018536,none,0,1
22/01/2019 13:28:53.857,0.4117947,adaptation,0.4117947,none,0,1
22/01/2019 13:28:53.866,0.4209042,adaptation,0.4209042,none,0,1
22/01/2019 13:28:53.876,0.4308929,adaptation,0.4308929,none,0,1
22/01/2019 13:28:53.885,0.4400787,adaptation,0.4400787,none,0,1
22/01/2019 13:28:53.894,0.4492512,adaptation,0.4492512,none,0,1
22/01/2019 13:28:53.904,0.4590683,adaptation,0.4590683,none,0,1
22/01/2019 13:28:53.914,0.4688339,adaptation,0.4688339,none,0,1
22/01/2019 13:28:53.923,0.4782219,adaptation,0.4782219,none,0,1
22/01/2019 13:28:53.933,0.4880428,adaptation,0.4880428,none,0,1
22/01/2019 13:28:53.943,0.4973488,adaptation,0.4973488,none,0,1
22/01/2019 13:28:53.952,0.5072384,adaptation,0.5072384,none,0,1
22/01/2019 13:28:53.963,0.5172443,adaptation,0.5172443,none,0,1
22/01/2019 13:28:53.972,0.5270519,adaptation,0.5270519,none,0,1
