Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity
22/01/2019 13:41:20.652,0.01300573,adaptation,0.01300573,none,0,1
22/01/2019 13:41:20.660,0.02131128,adaptation,0.02131128,none,0,1
22/01/2019 13:41:20.677,0.0383606,adaptation,0.0383606,none,0,1
22/01/2019 13:41:20.694,0.05519152,adaptation,0.05519152,none,0,1
22/01/2019 13:41:20.710,0.07146692,adaptation,0.07146692,none,0,1
22/01/2019 13:41:20.727,0.08817482,adaptation,0.08817482,none,0,1
22/01/2019 13:41:20.744,0.1051807,adaptation,0.1051807,none,0,1
22/01/2019 13:41:20.760,0.1212234,adaptation,0.1212234,none,0,1
22/01/2019 13:41:20.777,0.1381488,adaptation,0.1381488,none,0,1
22/01/2019 13:41:20.793,0.1543036,adaptation,0.1543036,none,0,1
22/01/2019 13:41:20.810,0.1711407,adaptation,0.1711407,none,0,1
22/01/2019 13:41:20.826,0.1874356,adaptation,0.1874356,none,0,1
22/01/2019 13:41:20.843,0.2041059,adaptation,0.2041059,none,0,1
22/01/2019 13:41:20.860,0.2211814,adaptation,0.2211814,none,0,1
22/01/2019 13:41:20.877,0.2382808,adaptation,0.2382808,none,0,1
22/01/2019 13:41:20.895,0.2566929,adaptation,0.2566929,none,0,1
22/01/2019 13:41:20.917,0.2781944,adaptation,0.2781944,none,0,1
22/01/2019 13:41:20.936,0.2975988,adaptation,0.2975988,none,0,1
22/01/2019 13:41:20.955,0.3169641,adaptation,0.3169641,none,0,1
22/01/2019 13:41:20.978,0.3399305,adaptation,0.3399305,none,0,1
22/01/2019 13:41:21.005,0.3662624,adaptation,0.3662624,none,0,1
22/01/2019 13:41:21.040,0.4019523,adaptation,0.4019523,none,0,1
22/01/2019 13:41:21.067,0.4288979,adaptation,0.4288979,none,0,1
22/01/2019 13:41:21.100,0.4612465,adaptation,0.4612465,none,0,1
22/01/2019 13:41:21.109,0.4704094,adaptation,0.4704094,none,0,1
22/01/2019 13:41:21.145,0.5068111,adaptation,0.5068111,none,0,1
22/01/2019 13:41:21.154,0.5159006,adaptation,0.5159006,none,0,1
22/01/2019 13:41:21.174,0.5359077,adaptation,0.5359077,none,0,1
22/01/2019 13:41:21.199,0.5609179,adaptation,0.5609179,none,0,1
22/01/2019 13:41:21.225,0.5862503,adaptation,0.5862503,none,0,1
22/01/2019 13:41:21.260,0.6218572,adaptation,0.6218572,none,0,1
22/01/2019 13:41:21.295,0.6562524,adaptation,0.6562524,none,0,1
22/01/2019 13:41:21.320,0.6811175,adaptation,0.6811175,none,0,1
22/01/2019 13:41:21.344,0.7053008,adaptation,0.7053008,none,0,1
22/01/2019 13:41:21.369,0.7299156,adaptation,0.7299156,none,0,1
22/01/2019 13:41:21.409,0.7700443,adaptation,0.7700443,none,0,1
22/01/2019 13:41:21.444,0.8055186,adaptation,0.8055186,none,0,1
22/01/2019 13:41:21.474,0.8349309,adaptation,0.8349309,none,0,1
22/01/2019 13:41:21.497,0.8582726,adaptation,0.8582726,none,0,1
22/01/2019 13:41:21.521,0.8821511,adaptation,0.8821511,none,0,1
22/01/2019 13:41:21.542,0.9030814,adaptation,0.9030814,none,0,1
22/01/2019 13:41:21.572,0.9328165,adaptation,0.9328165,none,0,1
22/01/2019 13:41:21.588,0.9493656,adaptation,0.9493656,none,0,1
22/01/2019 13:41:21.605,0.9659171,adaptation,0.9659171,none,0,1
22/01/2019 13:41:21.649,1.009609,intervention,0.009609222,decay,0.009609222,0.9231262
22/01/2019 13:41:21.657,1.018682,intervention,0.01868153,decay,0.01868153,0.8505478
22/01/2019 13:41:21.676,1.036693,intervention,0.03669262,decay,0.03669262,0.706459
22/01/2019 13:41:21.693,1.054088,intervention,0.05408764,decay,0.05408764,0.5672989
22/01/2019 13:41:21.710,1.070676,intervention,0.07067633,decay,0.07067633,0.4345894
22/01/2019 13:41:21.733,1.094249,intervention,0.09424877,decay,0.09424877,0.2460098
22/01/2019 13:41:21.768,1.129057,intervention,0.1290569,sustain low,0.004056931,0
22/01/2019 13:41:21.791,1.152257,intervention,0.152257,sustain low,0.02725697,0
22/01/2019 13:41:21.811,1.171873,intervention,0.1718726,sustain low,0.04687262,0
22/01/2019 13:41:21.831,1.192323,intervention,0.1923232,sustain low,0.06732321,0
22/01/2019 13:41:21.877,1.237978,intervention,0.237978,sustain low,0.112978,0
22/01/2019 13:41:21.904,1.264784,intervention,0.2647843,attack,0.01478434,0.1182747
22/01/2019 13:41:21.941,1.301594,intervention,0.3015938,attack,0.05159378,0.4127502
22/01/2019 13:41:21.966,1.327256,intervention,0.3272562,attack,0.0772562,0.6180496
22/01/2019 13:41:21.989,1.350207,intervention,0.3502069,attack,0.1002069,0.8016548
22/01/2019 13:41:22.027,1.387671,intervention,0.3876715,sustain high,0.01267147,1
22/01/2019 13:41:22.052,1.412959,intervention,0.4129591,sustain high,0.0379591,1
22/01/2019 13:41:22.076,1.437069,intervention,0.4370689,sustain high,0.06206894,1
22/01/2019 13:41:22.113,1.473694,intervention,0.4736943,sustain high,0.09869432,1
22/01/2019 13:41:22.130,1.490591,intervention,0.490591,sustain high,0.115591,1
22/01/2019 13:41:22.146,1.506799,intervention,0.5067992,decay,0.006799221,0.9456062
22/01/2019 13:41:22.162,1.523553,intervention,0.5235529,decay,0.02355289,0.8115768
22/01/2019 13:41:22.182,1.544147,intervention,0.5441475,decay,0.04414749,0.6468201
22/01/2019 13:41:22.199,1.560712,intervention,0.5607123,decay,0.06071234,0.5143013
22/01/2019 13:41:22.215,1.577276,intervention,0.5772762,decay,0.07727623,0.3817902
22/01/2019 13:41:22.232,1.593941,intervention,0.5939407,decay,0.09394073,0.2484741
22/01/2019 13:41:22.270,1.632236,intervention,0.6322365,sustain low,0.007236481,0
22/01/2019 13:41:22.291,1.652913,intervention,0.6529126,sustain low,0.02791262,0
22/01/2019 13:41:22.309,1.670853,intervention,0.6708527,sustain low,0.04585266,0
22/01/2019 13:41:22.358,1.719338,intervention,0.7193379,sustain low,0.09433794,0
22/01/2019 13:41:22.367,1.72842,intervention,0.7284203,sustain low,0.1034203,0
22/01/2019 13:41:22.383,1.745107,intervention,0.7451067,sustain low,0.1201067,0
22/01/2019 13:41:22.419,1.780544,intervention,0.7805438,attack,0.0305438,0.2443504
22/01/2019 13:41:22.442,1.803737,intervention,0.8037372,attack,0.05373716,0.4298973
22/01/2019 13:41:22.469,1.830696,intervention,0.8306961,attack,0.08069611,0.6455688
22/01/2019 13:41:22.491,1.852415,intervention,0.8524151,attack,0.1024151,0.8193207
22/01/2019 13:41:22.517,1.878887,intervention,0.8788872,sustain high,0.003887177,1
22/01/2019 13:41:22.545,1.907089,intervention,0.9070892,sustain high,0.03208923,1
22/01/2019 13:41:22.566,1.927703,intervention,0.9277029,sustain high,0.0527029,1
22/01/2019 13:41:22.594,1.955322,intervention,0.9553218,sustain high,0.08032179,1
22/01/2019 13:41:22.622,1.983993,intervention,0.9839926,sustain high,0.1089926,1
22/01/2019 13:41:22.639,2.000579,intervention,1.000579,decay,0.0005788803,0.995369
22/01/2019 13:41:22.656,2.017296,intervention,1.017296,decay,0.01729631,0.8616295
22/01/2019 13:41:22.676,2.037776,intervention,1.037776,decay,0.03777599,0.6977921
22/01/2019 13:41:22.694,2.055269,intervention,1.055269,decay,0.05526924,0.5578461
22/01/2019 13:41:22.710,2.071319,intervention,1.071319,decay,0.07131863,0.429451
22/01/2019 13:41:22.730,2.091347,intervention,1.091347,decay,0.09134722,0.2692223
22/01/2019 13:41:22.747,2.108303,intervention,1.108303,decay,0.1083026,0.1335793
22/01/2019 13:41:22.763,2.124514,intervention,1.124514,decay,0.1245136,0.003890991
22/01/2019 13:41:22.780,2.141292,intervention,1.141292,sustain low,0.01629162,0
22/01/2019 13:41:22.802,2.163863,intervention,1.163863,sustain low,0.03886271,0
22/01/2019 13:41:22.820,2.18114,intervention,1.18114,sustain low,0.05614042,0
22/01/2019 13:41:22.844,2.205046,intervention,1.205046,sustain low,0.08004618,0
22/01/2019 13:41:22.862,2.223551,intervention,1.223551,sustain low,0.09855127,0
22/01/2019 13:41:22.896,2.257043,intervention,1.257043,attack,0.007043362,0.05634689
22/01/2019 13:41:22.916,2.277678,intervention,1.277678,attack,0.02767801,0.2214241
22/01/2019 13:41:22.949,2.310221,intervention,1.310221,attack,0.0602212,0.4817696
22/01/2019 13:41:22.976,2.337226,intervention,1.337226,attack,0.08722639,0.6978111
22/01/2019 13:41:22.993,2.354898,intervention,1.354898,attack,0.104898,0.8391838
22/01/2019 13:41:23.040,2.401477,intervention,1.401477,sustain high,0.02647734,1
22/01/2019 13:41:23.049,2.410573,intervention,1.410573,sustain high,0.03557253,1
22/01/2019 13:41:23.078,2.439756,intervention,1.439756,sustain high,0.06475592,1
22/01/2019 13:41:23.095,2.456295,intervention,1.456295,sustain high,0.08129549,1
22/01/2019 13:41:23.112,2.473072,intervention,1.473072,sustain high,0.09807158,1
22/01/2019 13:41:23.128,2.489446,intervention,1.489446,sustain high,0.1144462,1
22/01/2019 13:41:23.145,2.506048,intervention,1.506048,decay,0.006047726,0.9516182
22/01/2019 13:41:23.161,2.522599,intervention,1.522599,decay,0.02259874,0.8192101
22/01/2019 13:41:23.178,2.53913,intervention,1.53913,decay,0.03912973,0.6869621
22/01/2019 13:41:23.194,2.555695,intervention,1.555695,decay,0.05569506,0.5544395
22/01/2019 13:41:23.211,2.572265,intervention,1.572265,decay,0.07226515,0.4218788
22/01/2019 13:41:23.228,2.589022,intervention,1.589022,decay,0.08902216,0.2878227
22/01/2019 13:41:23.244,2.605397,intervention,1.605397,decay,0.1053967,0.156826
22/01/2019 13:41:23.261,2.62202,intervention,1.62202,decay,0.1220202,0.02383804
22/01/2019 13:41:23.278,2.639005,intervention,1.639005,sustain low,0.01400518,0
22/01/2019 13:41:23.294,2.655096,intervention,1.655096,sustain low,0.03009558,0
22/01/2019 13:41:23.311,2.671978,intervention,1.671978,sustain low,0.04697847,0
22/01/2019 13:41:23.326,2.688228,intervention,1.688228,sustain low,0.06322813,0
22/01/2019 13:41:23.344,2.705535,intervention,1.705535,sustain low,0.08053541,0
22/01/2019 13:41:23.361,2.721578,intervention,1.721578,sustain low,0.09657812,0
22/01/2019 13:41:23.376,2.737929,intervention,1.737929,sustain low,0.1129289,0
22/01/2019 13:41:23.393,2.754546,intervention,1.754546,attack,0.004545689,0.03636551
22/01/2019 13:41:23.409,2.771062,intervention,1.771062,attack,0.02106237,0.168499
22/01/2019 13:41:23.426,2.78763,intervention,1.78763,attack,0.0376296,0.3010368
22/01/2019 13:41:23.443,2.8045,intervention,1.8045,attack,0.0545001,0.4360008
22/01/2019 13:41:23.459,2.820797,intervention,1.820797,attack,0.07079744,0.5663795
22/01/2019 13:41:23.475,2.837329,intervention,1.837329,attack,0.08732939,0.6986351
22/01/2019 13:41:23.493,2.854493,intervention,1.854493,attack,0.1044927,0.8359413
22/01/2019 13:41:23.509,2.870482,intervention,1.870482,attack,0.120482,0.9638557
22/01/2019 13:41:23.526,2.887476,intervention,1.887476,sustain high,0.01247644,1
22/01/2019 13:41:23.542,2.903601,intervention,1.903601,sustain high,0.02860117,1
22/01/2019 13:41:23.559,2.92051,intervention,1.92051,sustain high,0.04550982,1
22/01/2019 13:41:23.575,2.936729,intervention,1.936729,sustain high,0.06172895,1
22/01/2019 13:41:23.592,2.953446,intervention,1.953446,sustain high,0.07844591,1
22/01/2019 13:41:23.609,2.970471,intervention,1.970471,sustain high,0.09547091,1
22/01/2019 13:41:23.625,2.986462,intervention,1.986462,sustain high,0.1114621,1
22/01/2019 13:41:23.642,3.003429,intervention,2.003429,decay,0.003428936,0.9725685
22/01/2019 13:41:23.658,3.019564,intervention,2.019564,decay,0.01956415,0.8434868
22/01/2019 13:41:23.675,3.036479,intervention,2.036479,decay,0.03647852,0.7081718
22/01/2019 13:41:23.692,3.053427,intervention,2.053427,decay,0.05342722,0.5725822
22/01/2019 13:41:23.708,3.06946,intervention,2.06946,decay,0.06946039,0.4443169
