Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity
21/01/2019 17:06:23.002,0.01553822,adaptation,0.01553822,none,0,1
21/01/2019 17:06:23.008,0.02212858,adaptation,0.02212858,none,0,1
21/01/2019 17:06:23.018,0.03192282,adaptation,0.03192282,none,0,1
21/01/2019 17:06:23.018,0.03231096,adaptation,0.03231096,none,0,1
21/01/2019 17:06:23.034,0.047997,adaptation,0.047997,none,0,1
21/01/2019 17:06:23.051,0.06503105,adaptation,0.06503105,none,0,1
21/01/2019 17:06:23.051,0.0654912,adaptation,0.0654912,none,0,1
21/01/2019 17:06:23.068,0.08200359,adaptation,0.08200359,none,0,1
21/01/2019 17:06:23.068,0.08246326,adaptation,0.08246326,none,0,1
21/01/2019 17:06:23.083,0.09760284,adaptation,0.09760284,none,0,1
21/01/2019 17:06:23.100,0.1141872,adaptation,0.1141872,none,0,1
21/01/2019 17:06:23.100,0.1145811,adaptation,0.1145811,none,0,1
21/01/2019 17:06:23.117,0.13095,adaptation,0.13095,none,0,1
21/01/2019 17:06:23.117,0.1313038,adaptation,0.1313038,none,0,1
21/01/2019 17:06:23.133,0.1472921,adaptation,0.1472921,none,0,1
21/01/2019 17:06:23.150,0.1639433,adaptation,0.1639433,none,0,1
21/01/2019 17:06:23.150,0.1642656,adaptation,0.1642656,none,0,1
21/01/2019 17:06:23.166,0.1804318,adaptation,0.1804318,none,0,1
21/01/2019 17:06:23.167,0.1808758,adaptation,0.1808758,none,0,1
21/01/2019 17:06:23.183,0.1970496,adaptation,0.1970496,none,0,1
21/01/2019 17:06:23.199,0.2135615,adaptation,0.2135615,none,0,1
21/01/2019 17:06:23.200,0.2139211,adaptation,0.2139211,none,0,1
21/01/2019 17:06:23.217,0.2309318,adaptation,0.2309318,none,0,1
21/01/2019 17:06:23.217,0.2313037,adaptation,0.2313037,none,0,1
21/01/2019 17:06:23.233,0.2469125,adaptation,0.2469125,none,0,1
21/01/2019 17:06:23.249,0.2632556,adaptation,0.2632556,none,0,1
21/01/2019 17:06:23.249,0.2635913,adaptation,0.2635913,none,0,1
21/01/2019 17:06:23.266,0.2800632,adaptation,0.2800632,none,0,1
21/01/2019 17:06:23.266,0.2804217,adaptation,0.2804217,none,0,1
21/01/2019 17:06:23.282,0.2963939,adaptation,0.2963939,none,0,1
21/01/2019 17:06:23.299,0.3130364,adaptation,0.3130364,none,0,1
21/01/2019 17:06:23.299,0.3134809,adaptation,0.3134809,none,0,1
21/01/2019 17:06:23.316,0.3299327,adaptation,0.3299327,none,0,1
21/01/2019 17:06:23.316,0.3303075,adaptation,0.3303075,none,0,1
21/01/2019 17:06:23.333,0.3469863,adaptation,0.3469863,none,0,1
21/01/2019 17:06:23.348,0.3626819,adaptation,0.3626819,none,0,1
21/01/2019 17:06:23.349,0.36305,adaptation,0.36305,none,0,1
21/01/2019 17:06:23.365,0.3792281,adaptation,0.3792281,none,0,1
21/01/2019 17:06:23.382,0.3957896,adaptation,0.3957896,none,0,1
21/01/2019 17:06:23.382,0.3961625,adaptation,0.3961625,none,0,1
21/01/2019 17:06:23.399,0.412991,adaptation,0.412991,none,0,1
21/01/2019 17:06:23.399,0.4134202,adaptation,0.4134202,none,0,1
21/01/2019 17:06:23.415,0.4289222,adaptation,0.4289222,none,0,1
21/01/2019 17:06:23.431,0.4454885,adaptation,0.4454885,none,0,1
